[2023-02-19 12:00:55,773] DEBUG - start playing music
[2023-02-19 12:01:55,808] DEBUG - initialize mixer
[2023-02-19 12:01:55,817] DEBUG - start playing music
[2023-02-19 12:01:55,975] INFO - music load to mixer
[2023-02-19 12:01:55,975] INFO - music started
[2023-02-19 12:02:05,035] DEBUG - stop playing music
[2023-02-19 12:02:05,035] INFO - music faded out
[2023-02-19 12:02:05,035] INFO - music stopped
[2023-02-19 12:17:38,371] DEBUG - initialize mixer
[2023-02-19 12:17:38,377] DEBUG - start playing music
[2023-02-19 12:17:38,484] INFO - music load to mixer
[2023-02-19 12:18:10,312] INFO - music started
[2023-02-19 12:18:16,936] DEBUG - stop playing music
[2023-02-19 12:18:16,936] INFO - music faded out
[2023-02-19 12:18:16,936] INFO - music stopped
[2023-02-19 12:18:57,301] DEBUG - initialize mixer
[2023-02-19 12:18:57,307] DEBUG - start playing music
[2023-02-19 12:18:57,467] INFO - music load to mixer
[2023-02-19 12:19:15,748] INFO - music started
[2023-02-19 12:19:24,542] DEBUG - stop playing music
[2023-02-19 12:19:24,543] INFO - music faded out
[2023-02-19 12:19:24,543] INFO - music stopped
[2023-02-19 12:19:24,543] INFO - music unloaded from mixer
[2023-02-19 12:19:27,580] INFO - music started
[2023-02-19 12:19:33,273] DEBUG - stop playing music
[2023-02-19 12:19:33,274] INFO - music faded out
[2023-02-19 12:19:33,274] INFO - music stopped
[2023-02-19 12:19:33,274] INFO - music unloaded from mixer
[2023-02-19 12:19:38,059] INFO - music started
[2023-02-19 12:19:42,501] DEBUG - stop playing music
[2023-02-19 12:19:42,502] INFO - music faded out
[2023-02-19 12:19:42,502] INFO - music stopped
[2023-02-19 12:19:42,502] INFO - music unloaded from mixer
[2023-02-19 12:19:49,127] INFO - music started
[2023-02-19 12:20:01,150] DEBUG - stop playing music
[2023-02-19 12:20:01,151] INFO - music faded out
[2023-02-19 12:20:01,151] INFO - music stopped
[2023-02-19 12:20:01,151] INFO - music unloaded from mixer
[2023-02-19 12:20:12,498] INFO - music started
[2023-02-19 12:20:23,614] DEBUG - stop playing music
[2023-02-19 12:20:23,614] INFO - music faded out
[2023-02-19 12:20:23,614] INFO - music stopped
[2023-02-19 12:20:23,614] INFO - music unloaded from mixer
[2023-02-19 12:20:26,066] DEBUG - stop playing music
[2023-02-19 12:20:26,066] INFO - music faded out
[2023-02-19 12:20:26,066] INFO - music stopped
[2023-02-19 12:20:26,066] INFO - music unloaded from mixer
[2023-02-19 12:20:27,738] INFO - music started
[2023-02-19 12:20:34,018] DEBUG - stop playing music
[2023-02-19 12:20:34,019] INFO - music faded out
[2023-02-19 12:20:34,019] INFO - music stopped
[2023-02-19 12:20:34,019] INFO - music unloaded from mixer
[2023-02-19 12:20:35,230] INFO - music started
[2023-02-19 12:25:52,354] INFO - music started
[2023-02-19 12:26:01,605] DEBUG - stop playing music
[2023-02-19 12:26:01,606] INFO - music faded out
[2023-02-19 12:26:01,606] INFO - music stopped
[2023-02-19 12:26:01,606] INFO - music unloaded from mixer
[2023-02-19 12:34:31,604] DEBUG - initialize mixer
[2023-02-19 12:34:31,610] DEBUG - start playing music
[2023-02-19 12:34:31,746] INFO - music load to mixer
[2023-02-19 12:34:40,362] INFO - music started
[2023-02-19 12:34:51,442] DEBUG - stop playing music
[2023-02-19 12:34:51,442] INFO - music faded out
[2023-02-19 12:34:51,442] INFO - music stopped
[2023-02-19 12:34:51,442] INFO - music unloaded from mixer
[2023-02-19 12:35:03,123] INFO - music started
[2023-02-19 12:35:07,234] DEBUG - stop playing music
[2023-02-19 12:35:07,234] INFO - music faded out
[2023-02-19 12:35:07,234] INFO - music stopped
[2023-02-19 12:35:07,234] INFO - music unloaded from mixer
[2023-02-19 15:03:22,449] DEBUG - initialize mixer
[2023-02-19 15:03:22,455] DEBUG - start playing music
[2023-02-19 15:03:22,609] INFO - music load to mixer
